number,category,concept,question,choice1,choice2,choice3,choice4,answer,explanation,translation,hint
11,어법오류찾기,주어-동사 수일치: each statement가 단수 주어이므로 현재시제 동사 형태를 점검하는 어법 문제.,"다음 문장에서 어법상 틀린 부분을 고르시오.
The evidence collected from several witnesses (1) was reviewed carefully, and the judge (2) noted that each statement (3) support the same basic timeline, although minor details (4) differed.",(1) was,(2) noted,(3) support,(4) differed,3,주어 each statement는 단수이므로 support가 아니라 supports가 되어야 한다.,"여러 증인에게서 수집된 증거는 신중하게 검토되었고, 판사는 세부사항은 조금씩 달랐지만 각 진술이 같은 기본적인 시간 흐름을 뒷받침한다고 언급했다.",each가 붙은 주어는 보통 단수로 취급합니다. 동사의 현재형 어미를 확인하세요.
12,어법오류찾기,관계절의 완전성: 관계대명사 who 뒤에 필요한 be동사가 빠졌는지 확인하는 어법 문제.,"다음 문장에서 어법상 틀린 부분을 고르시오.
(1) Having reviewed the file, the clerk (2) discovered several missing pages and (3) immediately reported them to the supervisor, (4) who responsible for record management.",(1) Having reviewed,(2) discovered,(3) immediately reported,(4) who responsible,4,who was responsible 또는 who is responsible이 되어야 한다. 관계절에 동사가 빠져 있다.,서류를 검토한 직원은 몇 장이 빠진 것을 발견하고 곧바로 기록 관리를 담당하는 책임자에게 이를 보고했다.,who 뒤에 형용사 responsible만 남으면 절이 완성되지 않습니다. 관계절 안의 동사를 확인하세요.
13,어법오류찾기,명사절 연결어 선택: 수동태 구조에서 문서가 “어떻게” 수정되어야 하는지를 묻는 연결어 오류 문제.,"다음 문장에서 어법상 틀린 부분을 고르시오.
The committee discussed the conditions (1) under which the agreement had been signed, (2) whether both parties understood the terms, and (3) what the document should be revised before approval (4) was granted.",(1) under which,(2) whether,(3) what,(4) was granted,3,the document should be revised는 수동태 구조이므로 what이 목적어 역할을 할 수 없다. 문맥상 how the document should be revised가 자연스럽다.,"위원회는 그 합의가 어떤 조건에서 체결되었는지, 양측이 조항을 제대로 이해했는지, 그리고 승인을 받기 전에 문서를 어떻게 수정해야 하는지를 논의했다.","document가 어떻게 수정되어야 하는지 묻는 자리인지, 무엇을 수정하는지 묻는 자리인지 구별하세요."
14,어법오류찾기,"to부정사 병렬구조: aims 뒤의 to reduce, to make, to give 형태 일치를 확인하는 문제.","다음 문장에서 어법상 틀린 부분을 고르시오.
The new policy aims (1) to reduce delays, (2) to make forms simpler, and (3) giving citizens clearer information about (4) how to appeal.",(1) to reduce,(2) to make,(3) giving,(4) how to appeal,3,"aims to reduce, to make, to give로 병렬이 맞아야 한다. giving은 to give로 고쳐야 한다.","새 정책은 지연을 줄이고, 양식을 더 단순하게 만들며, 시민들에게 이의 제기 방법에 대해 더 명확한 정보를 제공하는 것을 목표로 한다.",동일한 동사 aims에 세 동작이 병렬로 연결됩니다. 앞의 to 형태가 뒤에도 유지되는지 보세요.
15,어법오류찾기,가정법 과거완료와 수식어 형태: 주소의 상태를 수식할 때 올바른 동사·분사 형태를 묻는 어법 문제.,"다음 문장에서 어법상 틀린 부분을 고르시오.
If the defendant (1) had received proper notice, he (2) would have appeared at the hearing; however, the notice (3) was sent to an old address that (4) no longer existing.",(1) had received,(2) would have appeared,(3) was sent,(4) no longer existing,4,address의 상태를 나타내려면 no longer existed 또는 was no longer in use처럼 완전한 동사 형태가 필요하다.,피고가 적절한 통지를 받았더라면 심리에 출석했을 것이다. 그러나 통지는 더 이상 사용되지 않는 예전 주소로 발송되었다.,앞부분의 가정법 구조는 자연스럽습니다. 마지막 that절에서 address의 상태를 서술할 동사가 있는지 확인하세요.
16,어법오류찾기,동명사 목적어: admit과 deny 뒤에 오는 목적어 형태를 구별하는 어법 문제.,"다음 문장에서 어법상 틀린 부분을 고르시오.
The witness admitted (1) signing the document but denied (2) to understand its legal effect when she (3) placed her initials (4) beside the clause.",(1) signing,(2) to understand,(3) placed,(4) beside,2,deny는 보통 동명사를 목적어로 취하므로 denied understanding이 되어야 한다.,"증인은 문서에 서명한 사실은 인정했지만, 조항 옆에 이니셜을 적었을 당시 그 법적 효력을 이해하고 있었다는 점은 부인했다.","admit, deny처럼 뒤에 동명사가 자주 오는 동사를 묶어서 기억하면 도움이 됩니다."
17,어법오류찾기,수동태 to부정사: 보고서가 공개되는 대상일 때 to be released가 필요한지 묻는 어법 문제.,"다음 문장에서 어법상 틀린 부분을 고르시오.
The final report (1) was expected (2) to release by Friday, but several sections (3) were still being checked by experts (4) outside the agency.",(1) was expected,(2) to release,(3) were still being checked,(4) outside,2,보고서가 공개되는 것이므로 to be released가 되어야 한다.,"최종 보고서는 금요일까지 공개될 것으로 예상되었지만, 몇몇 부분은 여전히 기관 외부 전문가들의 검토를 받고 있었다.","report가 스스로 release하는지, 누군가에 의해 release되는지 생각해 보세요."
18,어법오류찾기,형용사와 부사 구별: read라는 동사를 수식하는 말이 형용사인지 부사인지 판단하는 어법 문제.,"다음 문장에서 어법상 틀린 부분을 고르시오.
Because the instructions were (1) unusually complex, applicants had to read them (2) careful before (3) submitting the form (4) online.",(1) unusually,(2) careful,(3) submitting,(4) online,2,동사 read를 수식하므로 부사 carefully가 필요하다.,"안내문이 유난히 복잡했기 때문에, 지원자들은 온라인으로 양식을 제출하기 전에 그것을 꼼꼼히 읽어야 했다.",복잡한 설명을 ‘어떻게’ 읽어야 하는지 묻는 자리입니다. 동사를 수식하는 품사를 찾으세요.
19,어법오류찾기,because와 because of 구별: 절이 뒤따를 때 전치사구가 아닌 접속사가 필요한지 확인하는 어법 문제.,"다음 문장에서 어법상 틀린 부분을 고르시오.
(1) Although the rule was clear, the agency delayed its response (2) because of it needed more data, and the delay (3) caused confusion among (4) many applicants.",(1) Although,(2) because of it needed,(3) caused,(4) many applicants,2,"because of 뒤에는 명사구가 오고, 절이 오려면 because it needed가 되어야 한다.","규칙은 분명했지만, 그 기관은 자료가 더 필요해 대응을 늦췄고, 그 지연은 많은 지원자들에게 혼란을 일으켰다.","because of 뒤에는 명사구, because 뒤에는 주어+동사가 있는 절이 올 수 있습니다."
20,어법오류찾기,불가산명사 information: 복수형을 만들 수 없는 명사의 수량 표현을 묻는 어법 문제.,"다음 문장에서 어법상 틀린 부분을 고르시오.
The revised form is (1) easier to complete (2) than the previous one, but it still requires (3) more informations than (4) most applicants expect.",(1) easier,(2) than,(3) more informations,(4) most applicants,3,information은 불가산명사이므로 more information이 맞다.,"개정된 양식은 이전보다 작성하기는 쉽지만, 대부분의 지원자가 예상하는 것보다 여전히 더 많은 정보를 요구한다.",information은 셀 수 없는 명사로 쓰이는 대표 단어입니다. 복수 -s가 가능한지 확인하세요.
21,어휘·독해형,증언 신빙성 어휘: 거짓말 동기와 기록 뒷받침을 근거로 credible을 고르는 문맥 어휘 문제.,"다음 문장에서 빈칸에 들어갈 가장 적절한 어휘를 고르시오.
The court found that the witness had no reason to lie and that her account was supported by phone records. Her testimony was therefore considered ______.",credible,fragile,irrelevant,optional,1,거짓말할 이유가 없고 기록으로 뒷받침되므로 credible이 적절하다.,"법원은 그 증인이 거짓말을 할 이유가 없고, 그녀의 진술이 통화 기록으로도 뒷받침된다는 점을 확인했다. 그래서 그녀의 증언은 믿을 만하다고 판단되었다.",phone records가 진술을 뒷받침한다는 점에서 ‘믿을 만한’ 성격을 찾으세요.
22,어휘·독해형,규정 집행 어휘: safety regulation을 실제로 시행·단속한다는 의미의 동사를 고르는 문제.,"다음 문장에서 빈칸에 들어갈 가장 적절한 어휘를 고르시오.
The mayor promised to ______ the new safety regulation, but some officials doubted whether the city had enough inspectors to check violations.",decorate,enforce,translate,postpone,2,규정을 실제로 시행하고 위반을 단속한다는 의미이므로 enforce가 적절하다.,"시장은 새로운 안전 규정을 집행하겠다고 약속했지만, 일부 공무원들은 시가 위반 사항을 확인할 점검·단속 인력을 충분히 갖추고 있는지 의심했다.",규정이 실제로 지켜지게 검사하고 단속하는 행동을 나타내는 동사를 찾으세요.
23,어휘·독해형,동의어 파악: postpone의 문맥상 의미가 vote를 뒤로 미루는 것임을 찾는 어휘 문제.,"다음 문장에서 밑줄 친 의미에 가장 가까운 말을 고르시오.
The committee decided to postpone the vote because the proposal remained controversial among residents.",approve,summarize,delay,predict,3,"postpone은 연기하다, delay와 의미가 가깝다.",위원회는 그 제안이 주민들 사이에서 여전히 논란이 되고 있어 투표를 연기하기로 했다.,투표를 바로 하지 않고 뒤로 미룬 이유를 묻는 문맥입니다.
24,어휘·독해형,반의어 문맥 어휘: vague와 대조되는 구체적이고 명확한 설명을 뜻하는 단어를 고르는 문제.,"다음 문장에서 빈칸에 들어갈 가장 적절한 어휘를 고르시오.
The witness first gave a vague answer, but after the judge asked a more specific question, she provided a ______ description of the event.",vague,careless,irrelevant,precise,4,vague와 대조되어 구체적이고 정확하다는 뜻이 필요하므로 precise가 적절하다.,"그 증인은 처음에는 모호하게 답했지만, 판사가 더 구체적으로 묻자 사건에 대해 정확하고 구체적인 설명을 내놓았다.",처음에는 vague였지만 더 구체적인 질문 뒤에 나온 설명이라는 대조를 보세요.
25,어휘·독해형,상징적 조치와 실질 조치: 사과가 재발방지 조치 없이 형식에 그칠 때의 의미를 묻는 문제.,"다음 문장에서 빈칸에 들어갈 가장 적절한 어휘를 고르시오.
A public apology may be meaningful only when it is accompanied by concrete steps to prevent the same harm from recurring; otherwise, it may seem merely ______.",symbolic,mechanical,nutritious,geographical,1,실질적 조치가 없으면 상징적 제스처에 그친다는 의미이다.,공개 사과는 같은 피해가 되풀이되지 않도록 구체적인 조치가 함께 따를 때에만 의미를 가질 수 있다. 그렇지 않으면 그저 상징적인 말에 그칠 수 있다.,concrete steps가 없을 때 사과가 어떤 수준에 머무르는지 생각해 보세요.
26,어휘·독해형,증거 배제 어휘: 불법 수집 문서를 재판에서 제외하려는 행위를 나타내는 동사를 고르는 문제.,"다음 문장에서 빈칸에 들어갈 가장 적절한 어휘를 고르시오.
Before the trial began, the attorney tried to ______ several documents that had been obtained illegally.",expand,exclude,celebrate,consume,2,불법적으로 확보된 문서를 증거에서 배제한다는 의미이다.,"재판이 시작되기 전, 변호사는 불법적으로 확보된 몇몇 문서를 증거에서 배제하려 했다.",illegally obtained documents가 재판 자료로 쓰이지 않게 하려는 상황입니다.
27,어휘·독해형,모호성 어휘: 개인정보 처리방침이 일반인에게 이해하기 어려운 상태를 나타내는 단어를 고르는 문제.,"다음 문장에서 빈칸에 들어갈 가장 적절한 어휘를 고르시오.
The new app promised convenience, but users complained that its privacy policy was too ______ for ordinary people to understand.",transparent,edible,ambiguous,generous,3,일반인이 이해하기 어렵다는 점에서 모호하다는 의미가 맞다.,"그 새 앱은 편리함을 내세웠지만, 사용자들은 개인정보 처리방침이 일반인이 이해하기에는 너무 모호하다고 불만을 제기했다.","ordinary people to understand와 privacy policy를 연결해, 이해하기 어려운 이유를 나타내는 단어를 고르세요."
28,어휘·독해형,적용 범위 제한 어휘: 규칙을 폐지하지 않고 특정 사건으로 적용 범위를 좁히는 의미를 묻는 문제.,"다음 문장에서 빈칸에 들어갈 가장 적절한 어휘를 고르시오.
The court did not abolish the old rule entirely; it only ______ its application to cases involving minors.",magnified,ignored,invented,limited,4,규칙을 없앤 것이 아니라 적용 범위를 좁혔다는 의미이므로 restricted가 적절하다.,법원은 그 오래된 규칙을 완전히 폐지하지는 않았다. 다만 그 적용 범위를 미성년자와 관련된 사건으로 제한했을 뿐이다.,entirely abolish가 아니라 only가 뒤따릅니다. 없애는 것과 범위를 좁히는 것을 구별하세요.
29,어휘·독해형,독립적 검토: 같은 자료에서 상반 결론이 나왔을 때 외부 전문가 검토의 성격을 묻는 문제.,"다음 문장에서 빈칸에 들어갈 가장 적절한 어휘를 고르시오.
Because the two reports reached opposite conclusions from the same data, the agency ordered an ______ review by outside experts.",independent,identical,immediate,impossible,1,상반된 결론 때문에 외부 전문가의 독립적 검토가 필요하다는 의미이다.,"같은 자료를 두고 두 보고서가 서로 반대되는 결론에 이르렀기 때문에, 그 기관은 외부 전문가들에게 독립적인 검토를 지시했다.",같은 자료에서 정반대 결론이 나왔으므로 내부 판단과 거리를 둔 검토가 필요합니다.
30,어휘·독해형,권리 행사 표현: 헌법상 권리가 실제 가치 있으려면 citizens가 권리를 행사할 수 있어야 함을 묻는 문제.,"다음 문장에서 빈칸에 들어갈 가장 적절한 어휘를 고르시오.
The judge warned that a right written in the Constitution would have little value if citizens had no practical way to ______ it.",polish,exercise,evaporate,misplace,2,권리를 실제로 행사한다는 표현은 exercise a right이다.,판사는 시민들이 실제로 행사할 방법이 없다면 헌법에 적힌 권리도 별 의미가 없을 것이라고 경고했다.,right와 함께 자주 쓰이는 동사 표현을 떠올리세요. 권리는 ‘행사’할 수 있어야 가치가 있습니다.
31,순서배열형,"순서 배열-문제·해결·결과: 표지판 한계 발견, 도로 재설계, 속도 감소의 논리 흐름을 배열하는 문제.","주어진 글 다음에 이어질 글의 순서로 가장 적절한 것은?
A city wanted to reduce the number of traffic accidents near schools. Officials first assumed that adding more signs would be enough.
(A) However, a later survey showed that drivers often failed to notice signs when the street was crowded.
(B) The city therefore redesigned the road, narrowing lanes and raising crosswalks so that cars naturally slowed down.
(C) After the redesign, average vehicle speed dropped and parents reported feeling safer.",(B) - (C) - (A),(C) - (A) - (B),(A) - (B) - (C),(B) - (A) - (C),3,문제점 발견(A) → 해결책 설계(B) → 결과(C)의 흐름이다.,"한 도시가 학교 주변 교통사고를 줄이고자 했다. 공무원들은 처음에 표지판을 더 세우면 충분할 것이라 생각했다. 그러나 이후 조사에서, 도로가 혼잡할 때는 운전자들이 표지판을 잘 알아보지 못한다는 사실이 드러났다. 그래서 시는 차선을 좁히고 횡단보도를 높여 차량이 자연스럽게 속도를 줄이도록 도로를 다시 설계했다. 재설계 이후 평균 속도가 낮아졌고, 학부모들도 더 안전해졌다고 느꼈다.","However가 기존 가정의 한계를 제시하고, therefore가 해결책을 이끕니다."
32,순서배열형,"순서 배열-원인·결과·권고: 극단적 경험자 리뷰, 리뷰 왜곡, 소비자 해석 태도의 흐름을 배열하는 문제.","주어진 글 다음에 이어질 글의 순서로 가장 적절한 것은?
Many people believe that online reviews simply reflect the quality of a product. The reality is more complicated.
(A) People with extreme experiences are more likely to post comments than those with ordinary experiences.
(B) As a result, reviews may overrepresent both strong praise and severe dissatisfaction.
(C) Consumers should therefore read reviews as useful signals, not as perfect measurements.",(C) - (A) - (B),(B) - (C) - (A),(A) - (C) - (B),(A) - (B) - (C),4,극단적 경험자의 리뷰 경향(A) → 리뷰 왜곡(B) → 소비자의 태도(C) 순서이다.,많은 사람은 온라인 리뷰가 제품의 품질을 그대로 보여준다고 믿는다. 그러나 현실은 좀 더 복잡하다. 극단적인 경험을 한 사람일수록 평범한 경험을 한 사람보다 리뷰를 남길 가능성이 높다. 그 결과 리뷰에는 지나친 칭찬과 심한 불만이 실제보다 더 많이 담기게 된다. 그러므로 소비자는 리뷰를 완벽한 척도가 아니라 참고할 만한 신호로 받아들여야 한다.,"As a result는 앞의 원인 뒤에 오고, therefore는 그 결과에 대한 소비자의 태도를 이끕니다."
33,순서배열형,순서 배열-찬반 대조와 절충: 재택근무 협업 효과에 대한 두 견해와 균형 정책을 배열하는 문제.,"주어진 글 다음에 이어질 글의 순서로 가장 적절한 것은?
Remote work has reduced commuting time for many employees. Yet its long-term effect on collaboration is still debated.
(A) Some workers say that video meetings are enough for routine tasks.
(B) Others argue that trust and creative ideas often develop through informal conversation.
(C) A balanced policy may therefore combine remote work with planned in-person meetings.",(A) - (B) - (C),(B) - (C) - (A),(C) - (A) - (B),(A) - (C) - (B),1,"한쪽 견해(A), 반대 견해(B), 절충 결론(C)의 흐름이다.",재택근무는 많은 직장인의 통근 시간을 줄여 주었다. 그러나 협업에 미치는 장기적 영향을 두고는 여전히 의견이 갈린다. 일부는 일상적인 업무라면 영상 회의만으로도 충분하다고 말한다. 반면 다른 이들은 신뢰와 창의적인 발상은 대개 비공식적인 대화 속에서 생겨난다고 주장한다. 따라서 균형 잡힌 정책이라면 재택근무와 계획된 대면 회의를 함께 활용할 수 있을 것이다.,"Some과 Others가 대비를 만들고, balanced policy가 그 대비를 정리합니다."
34,순서배열형,"순서 배열-사례 결과와 일반화: 오디오 가이드 이용 행동, 기억 효과, 박물관 결론의 흐름을 배열하는 문제.","주어진 글 다음에 이어질 글의 순서로 가장 적절한 것은?
A museum introduced a free audio guide to make exhibitions easier to understand.
(A) Visitors who used the guide spent more time in each room.
(B) They also remembered the historical background of objects more accurately.
(C) The museum concluded that explanation can change not only what people see but also how they see it.",(C) - (B) - (A),(A) - (B) - (C),(B) - (A) - (C),(A) - (C) - (B),2,이용 행동(A) → 기억 효과(B) → 일반화된 결론(C) 순서이다.,한 박물관이 전시를 더 쉽게 이해할 수 있도록 무료 오디오 가이드를 도입했다. 가이드를 이용한 방문객은 각 전시실에 더 오래 머물렀다. 그들은 또한 전시물의 역사적 배경도 더 정확히 기억했다. 박물관은 설명이 사람들이 무엇을 보는지뿐 아니라 어떻게 보는지도 바꿀 수 있다고 결론 내렸다.,"먼저 이용자의 행동 변화가 나오고, 그다음 기억 효과, 마지막에 박물관의 결론이 자연스럽습니다."
35,문장삽입형,문장 삽입-절차적 공정성: 짧은 연기가 절차 전체의 공정성을 보호한다는 문장의 위치를 찾는 문제.,"주어진 문장이 들어가기 가장 적절한 곳을 고르시오.
[주어진 문장]
This is why a short delay can sometimes protect the fairness of the whole process.
A court may need to postpone a hearing when one side has not received important documents. ( [1] ) At first, delay may look inefficient. ( [2] ) But proceeding too quickly can prevent a party from preparing a meaningful response. ( [3] ) Fairness requires not only speed but also a real chance to be heard. ( [4] )",[1],[2],[3],[4],3,"지연이 비효율적으로 보일 수 있다는 내용 뒤에, 짧은 연기가 절차적 공정성을 보호할 수 있다는 문장이 이어지는 것이 자연스럽다.",법원은 한쪽 당사자가 중요한 문서를 아직 받지 못했다면 심리를 연기해야 할 수도 있다. 처음에는 그런 지연이 비효율적으로 보일 수 있다. 그러나 너무 서둘러 진행하면 한쪽 당사자가 제대로 대응을 준비하지 못할 수 있다. 짧은 지연이 전체 절차의 공정성을 지킬 수 있는 경우도 있다. 절차적 공정성은 효율성만으로 판단되지 않는다.,This is why가 앞 내용 전체를 받아 정리합니다. 너무 빠른 진행의 문제를 설명한 뒤가 자연스럽습니다.
36,문장삽입형,문장 삽입-대조 전환: 온라인 행정의 빠름이라는 장점 뒤에 접근성 한계를 연결하는 문제.,"주어진 문장이 들어가기 가장 적절한 곳을 고르시오.
[주어진 문장]
Yet speed alone does not make a service just or trustworthy.
Many government services are moving online. ( [1] ) Digital forms can reduce waiting time and help citizens submit documents from home. ( [2] ) Some people, however, lack stable internet access or have difficulty understanding online instructions. ( [3] ) For them, a digital-only system may become another barrier. ( [4] )",[1],[2],[3],[4],2,"온라인 서비스의 속도 장점을 설명한 뒤, speed alone으로는 충분하지 않다는 문장이 오고 이어서 인터넷 접근성과 이해 문제로 연결된다.",많은 정부 서비스가 온라인으로 옮겨가고 있다. 디지털 양식은 대기 시간을 줄이고 시민이 집에서 문서를 제출할 수 있게 해 준다. 그러나 속도만으로 서비스가 정당하거나 신뢰할 만해지는 것은 아니다. 어떤 사람들은 인터넷 환경이 불안정하거나 온라인 안내를 이해하기 어려워한다. 그런 사람들에게는 디지털 전용 시스템이 또 다른 장벽이 될 수 있다.,speed alone이라는 표현은 앞에서 속도의 장점이 언급된 직후에 가장 자연스럽게 이어집니다.
